=== Batch Scene Capture ===
Total scenes in catalog: 1971

[24/1971] ca_screen - capturing... OK
[25/1971] line_network_ca - capturing... OK
[26/1971] pulsing_ca - capturing... OK
[27/1971] ca_showcase - capturing... OK
[28/1971] crack_propagation_ca - capturing... OK
[29/1971] dendrite_growth_ca - capturing... OK
[30/1971] disease_spread_ca - capturing... FAIL (timeout)
[31/1971] ecosystem_ca - capturing... OK
[32/1971] percolation_ca - capturing... OK
[33/1971] recrystallization_ca - capturing... OK
[34/1971] self_organization_ca - capturing... FAIL (timeout)
[35/1971] cellular_automata_1d - capturing... OK
[36/1971] cellular_automata_2d - capturing... OK
[37/1971] mold_network - capturing... OK
[38/1971] structure_growth - capturing... OK
[39/1971] cellular_automata_3d - capturing... OK
[40/1971] cellular_automata_3d_stacked - capturing... OK
[41/1971] cellular_automata_3d_tree - capturing... OK
[42/1971] cellular_automata_basic - capturing... OK
[43/1971] cellular_automata_grabable - capturing... OK
[44/1971] CrosswayCA - capturing... OK
[45/1971] lattice_gas_automata - capturing... OK
[46/1971] decaying_bridge - capturing... OK
[47/1971] 7_1_elementary_ca_vr - capturing... OK
[48/1971] 7_2_game_of_life_vr - capturing... OK
[49/1971] 7_3_game_of_life_oop_vr - capturing... OK
[50/1971] 7_8_hexagon_ca_vr - capturing... OK
[51/1971] hexagon_cave_vr - capturing... OK
[52/1971] persian_rug - capturing... OK
[53/1971] rule_30_110 - capturing... OK
[54/1971] rule_30_110_gravity - capturing... OK
[55/1971] sierpinski_pyramid - capturing... OK
[56/1971] volumetric_fog_ca - capturing... OK
[57/1971] lyapunov_exponents - capturing... OK
[58/1971] strange_attractors - capturing... OK
[59/1971] advancedglitch - capturing... OK
[60/1971] brick_wall_factory - capturing... OK
[61/1971] color_constellation_office - capturing... OK
[62/1971] color_mixing - capturing... OK
[64/1971] visual_color_mixing - capturing... OK
[65/1971] color_scanner - capturing... OK
[66/1971] grab_stick - capturing... OK
[67/1971] grab_stick_scanner - capturing... OK
[68/1971] disco_lights - capturing... OK
[69/1971] colorballs - capturing... OK
[70/1971] coloredlines - capturing... OK
[71/1971] colorsheets - capturing... OK
[72/1971] colortrails - capturing... OK
[73/1971] dark_side_prism - capturing... OK
[74/1971] glitchcolor - capturing... OK
[75/1971] color_sets_overview - capturing... OK
[76/1971] grabcolorcollection - capturing... OK
    --- Progress: 50 captured, 2 failed, ~238 min remaining ---
[77/1971] shelf - capturing... OK
[78/1971] shelf_with_stickers - capturing... OK
[79/1971] gridcolorizer - capturing... OK
[80/1971] k_means_color - capturing... OK
[81/1971] MetamerismLab - capturing... OK
[82/1971] minimalglitch - capturing... OK
[83/1971] pillarcolorcollection - capturing... OK
[84/1971] RotatingLaser - capturing... OK
[85/1971] SimultaneousContrast - capturing... OK
[86/1971] SpectrumVisualizer - capturing... OK
[87/1971] spectrum_forest - capturing... OK
[88/1971] spherecolors - capturing... OK
[89/1971] strobe_lasers - capturing... OK
[90/1971] textureglitch - capturing... OK
[91/1971] attractorsphere - capturing... OK
[92/1971] bucket_of_tulips - capturing... OK
[93/1971] ten_tulip_buckets - capturing... OK
[94/1971] growslimbs - capturing... OK
[95/1971] limbgrowth - capturing... OK
[96/1971] MolecularDesigner - capturing... OK
[97/1971] monte_carlo_protein - capturing... OK
[98/1971] morphobody - capturing... OK
[99/1971] radiolaria - capturing... OK
[100/1971] ... skipping (already captured)
[101/1971] ChengSimulationScaled - capturing... OK
[102/1971] closest_pair - capturing... OK
[103/1971] distance_fields_sdf - capturing... OK
[104/1971] renaissancepaintingfloorrattern - capturing... OK
[105/1971] voronoi_visualization - capturing... OK
[106/1971] voronoi_grid_3d - capturing... OK
[107/1971] algorithmic_bias - capturing... OK
[108/1971] algorithmic_bias_visualization - capturing... OK
[109/1971] AnickaYiLab - capturing... OK
[110/1971] earths_delight - capturing... OK
[111/1971] fuzzy_cloud - capturing... OK
[112/1971] PipilottiRistWorld - capturing... OK
[113/1971] remains_to_be_seen - capturing... OK
[114/1971] running_text_display - capturing... OK
[115/1971] science_desk - capturing... OK
[116/1971] science_glasses - capturing... OK
[117/1971] rsa_visualization - capturing... OK
[118/1971] binary_trees - capturing... OK
[119/1971] bst_visualization - capturing... OK
[120/1971] bsp_trees - capturing... OK
